path,matched_legacy_identifiers,phase,migration_treatment
apps/demo-web/src/components/CredentialCard.tsx,authorizationBasis;authorizedBy;derivedFrom;supportedBy,I7,Migrate UI metadata and consumers to compiled evaluator graph.
apps/demo-web/src/components/CredentialGraph.tsx,authorizedBy;derivedFrom;supportedBy,I7,Migrate UI metadata and consumers to compiled evaluator graph.
apps/demo-web/src/components/Inspector.tsx,authorizedBy;derivedFrom;supportedBy,I7,Migrate UI metadata and consumers to compiled evaluator graph.
apps/demo-web/src/scenarios/index.ts,authorizationBasis;authorizedBy;derivedFrom;supportedBy,I7,Migrate UI metadata and consumers to compiled evaluator graph.
apps/demo-web/src/store/index.ts,authorizedBy;derivedFrom;supportedBy,I7,Migrate UI metadata and consumers to compiled evaluator graph.
contexts/v1/qi-calibration.jsonld,authorizationBasis;scopeRef,I1/I5,Retain explicit legacy versions; add versioned new binding resources.
contexts/v1/qi-core.jsonld,authorizationBasis;authorizedBy;derivedFrom;scopeRef;supportedBy,I1/I5,Retain explicit legacy versions; add versioned new binding resources.
contexts/v1/qi-evidence-context.jsonld,authorizationBasis;authorizedBy;derivedFrom;scopeRef;supportedBy,I1/I5,Retain explicit legacy versions; add versioned new binding resources.
contexts/v1/qi-rm.jsonld,authorizationBasis;scopeRef,I1/I5,Retain explicit legacy versions; add versioned new binding resources.
examples/calibration/digital-calibration-certificate.json,authorizationBasis;authorizedBy;scopeRef,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/calibration/digital-calibration-certificate.sd-derived.json,authorizationBasis;authorizedBy;scopeRef,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/calibration/digital-calibration-certificate.sd.json,authorizationBasis;authorizedBy;scopeRef,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/gs/hair-dryer-gs-product-mark-external-test-lab.json,authorizationBasis;authorizedBy,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/gs/hair-dryer-gs-product-mark.json,authorizationBasis;authorizedBy,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/rm/reference-material-certificate.json,authorizationBasis;authorizedBy;scopeRef;supportedBy,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/rm/reference-material-certificate.sd-derived.json,authorizationBasis;authorizedBy;scopeRef,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
examples/rm/reference-material-certificate.sd.json,authorizationBasis;authorizedBy;scopeRef,I5,Legacy artifact: reissue through generator; never edit existing proof in place.
packages/core-py/qi_vc_core/edge/authorized_by.py,authorizationBasis;authorizedBy,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/edge/derived_from.py,derivedFrom,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/edge/evaluate.py,authorizedBy;derivedFrom;supportedBy,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/edge/supported_by.py,supportedBy,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/evidence/graph.py,authorizationBasis,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/evidence/normalize.py,authorizationBasis;authorizedBy;derivedFrom,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
packages/core-py/qi_vc_core/evidence/types.py,AuthorizationBasisKind;EvidenceRelation;authorizationBasis;authorizedBy;derivedFrom;scopeRef;supportedBy,I1/I2/I3/I5,Replace legacy API/dispatch assumptions; retain explicit compatibility boundary.
