path,reviewed_on,disposition,note
.github/ISSUE_TEMPLATE/bug_report.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
.github/ISSUE_TEMPLATE/feature_request.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
.github/PULL_REQUEST_TEMPLATE.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
.github/workflows/ci.yml,2026-09-24,updated_I0,Workspace/pins/commands repaired; final coverage and release metadata remain I8.
.github/workflows/release.yml,2026-09-24,updated_I0,Workspace/pins/commands repaired; final coverage and release metadata remain I8.
AGENTS.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
CHANGELOG.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
CITATION.cff,2026-09-22,retained_historical,No new version/date/DOI; verify archive before associating it with new implementation.
CLAUDE.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
CODE_OF_CONDUCT.md,2026-09-22,reviewed_retained,Compatible conduct/ADR process remains unchanged.
CONTRIBUTING.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
Makefile,2026-09-24,updated_I0,Workspace/pins/commands repaired; final coverage and release metadata remain I8.
README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
RECONCILIATION_REPORT.md,2026-09-22,append_only,Preserve historical entries; append documentation evidence.
RECONCILIATION_TASK.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
SECURITY.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
apps/demo-web/package.json,2026-09-22,reviewed_deferred_to_I0_I8,Executable configuration unchanged in documentation pass; pin/CI/workspace discrepancies recorded.
docs/API_MIGRATION.md,2026-09-22,added,Documentation/provenance/design/traceability artifact.
docs/ARCHITECTURE.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/ASSESSMENT.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/BINDING_MANIFEST.md,2026-09-22,added,Documentation/provenance/design/traceability artifact.
docs/IMPLEMENTATION_STATUS.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/MODEL_SPEC.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/NON_GOALS.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/PAPER_FEEDBACK.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/POLICY_PROFILES.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/PRESENTATION_QUERY.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/PYTHON_PARITY.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/SCOPE_TERMS.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/SELECTIVE_DISCLOSURE.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/VOCABULARY.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/adr/ADR-006-evidence-graph-architecture.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-000-adr-process.md,2026-09-22,reviewed_retained,Compatible conduct/ADR process remains unchanged.
docs/adrs/adr-001-polyglot-architecture.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-002-urdna2015-canonicalization.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-003-bitstring-status-list.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-004-trust-registry-as-vc.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-005-vc-chain-design.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-006-no-dlt.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-007-m375a-worked-example.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-008-three-relations-no-role.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-009-selective-disclosure-ecdsa-sd-2023.md,2026-09-22,historical_scope_clarified,Preserve decision text; add current applicability or supersession.
docs/adrs/adr-010-standards-first-reliance.md,2026-09-22,added,New accepted migration decision; runtime implementation pending.
docs/architecture/01-overview.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/history/README.md,2026-09-22,added,Documentation/provenance/design/traceability artifact.
